"word" "root" "prob" "freq"
"1" "get" "to" 0.0257817630274467 17746
"2" "dont" "i" 0.0368716826452081 15130
"3" "think" "i" 0.035399739729299 14526
"4" "first" "the" 0.0120062669106781 14315
"5" "see" "to" 0.0196857257422463 13550
"6" "love" "i" 0.0310911386112072 12758
"7" "make" "to" 0.0177215116312856 12198
"8" "can" "you" 0.0509444884269309 11969
"9" "lot" "a" 0.0201360370042213 11954
"10" "can" "i" 0.0249767267303859 10249
"11" "go" "to" 0.014862359730124 10230
"12" "little" "a" 0.0170955863774336 10149
"13" "great" "a" 0.0170871640765284 10144
"14" "best" "the" 0.00842745161847665 10048
"15" "good" "a" 0.0164150644642911 9745
"16" "said" "he" 0.0902101775103493 9610
"17" "know" "i" 0.0231562940181605 9502
"18" "just" "i" 0.022274103065248 9140
"19" "new" "the" 0.00709221047828807 8456
"20" "world" "the" 0.00707795225003229 8439
"21" "new" "a" 0.0141545189013277 8403
"22" "will" "i" 0.0201246764893674 8258
"23" "much" "so" 0.0832353828390734 8002
"24" "least" "at" 0.052872626632294 7527
"25" "well" "as" 0.0606568114548183 7316
"26" "way" "the" 0.00603961774528766 7201
"27" "cant" "i" 0.0172587743881933 7082
"28" "know" "you" 0.0300329443011467 7056
"29" "last" "the" 0.00590290649789398 7038
"30" "want" "i" 0.0160427155884604 6583
"31" "time" "the" 0.00549277275571294 6549
"32" "next" "the" 0.00544580447439977 6493
"33" "take" "to" 0.00930241342639137 6403
"34" "now" "right" 0.241113134351991 6091
"35" "day" "the" 0.00487966894071429 5818
"36" "end" "the" 0.00484863632627523 5781
"37" "year" "this" 0.0422299282943458 5748
"38" "say" "to" 0.00794257288803399 5467
"39" "got" "i" 0.0132889151000872 5453
"40" "course" "of" 0.0108502379788264 5437
"41" "bit" "a" 0.00890237205682695 5285
"42" "need" "i" 0.0128648785647094 5279
"43" "didnt" "i" 0.0125139517768106 5135
"44" "work" "to" 0.00718274745901592 4944
"45" "york" "new" 0.100753701764114 4906
"46" "know" "dont" 0.110501107044417 4891
"47" "dont" "you" 0.0207795966664113 4882
"48" "wait" "cant" 0.221357165891187 4805
"49" "hope" "i" 0.0114831043373576 4712
"50" "state" "the" 0.00394952922685177 4709
"51" "city" "the" 0.00389920606830195 4649
"52" "week" "this" 0.0339867168214412 4626
"53" "help" "to" 0.00667426007821989 4594
"54" "year" "last" 0.145810073686561 4571
"55" "can" "we" 0.0436721336573977 4564
"56" "find" "to" 0.00660307184490844 4545
"57" "keep" "to" 0.00656384567553275 4518
"58" "feel" "i" 0.0109859580545009 4508
"59" "thought" "i" 0.0109567141555093 4496
"60" "want" "you" 0.0190727924338773 4481
"61" "will" "it" 0.0195456437443863 4461
"62" "us" "the" 0.00365513874933531 4358
"63" "said" "she" 0.0863154440867051 4209
"64" "game" "the" 0.0035284921336516 4207
"65" "like" "i" 0.0101671288827368 4172
"66" "year" "a" 0.00693997594590861 4120
"67" "past" "the" 0.00344042660618941 4102
"68" "come" "to" 0.00589264233288199 4056
"69" "right" "the" 0.00336745802629217 4015
"70" "couple" "a" 0.00675805424635567 4012
"71" "get" "i" 0.00974309234735903 3998
"72" "big" "a" 0.0066670933965792 3958
"73" "will" "you" 0.0164636378340186 3868
"74" "night" "last" 0.122906631790488 3853
"75" "really" "i" 0.00936779564363385 3844
"76" "know" "to" 0.00553670116632477 3811
"77" "second" "the" 0.00313681021627216 3740
"78" "life" "my" 0.0243800446049278 3673
"79" "give" "to" 0.00529553286571865 3645
"80" "us" "of" 0.00725411349145372 3635
"81" "going" "is" 0.0133389052023596 3575
"82" "school" "high" 0.321366584452361 3518
"83" "play" "to" 0.00510085483992817 3511
"84" "top" "the" 0.00293887245930953 3504
"85" "many" "so" 0.0363127619959017 3491
"86" "rest" "the" 0.00291790447658044 3479
"87" "long" "a" 0.00583160114678049 3462
"88" "ago" "years" 0.135890432648537 3433
"89" "pm" "at" 0.0237143599721834 3376
"90" "house" "the" 0.00283151638773658 3376
"91" "use" "to" 0.00490036552978574 3373
"92" "able" "be" 0.0246834933257181 3371
"93" "one" "the" 0.0028172581594808 3359
"94" "one" "no" 0.0677281127515688 3335
"95" "get" "you" 0.0141566854798206 3326
"96" "like" "feel" 0.219707330415755 3213
"97" "will" "we" 0.0304001684113831 3177
"98" "week" "last" 0.101055855051198 3168
"99" "year" "the" 0.00262351399906399 3128
"100" "hate" "i" 0.00761559869572211 3125
"101" "start" "to" 0.00452553768908466 3115
"102" "think" "you" 0.0132202841552383 3106
"103" "morning" "this" 0.0224741389443987 3059
"104" "hear" "to" 0.0044441797081573 3059
"105" "going" "im" 0.0497171099694349 3058
"106" "people" "the" 0.00254635182262093 3036
"107" "whole" "the" 0.00251951280472769 3004
"108" "one" "is" 0.0111673687470384 2993
"109" "much" "too" 0.103191305847852 2991
"110" "far" "so" 0.0310182343946659 2982
"111" "two" "the" 0.00249015762890696 2969
"112" "time" "first" 0.0881680182990227 2968
"113" "guess" "i" 0.00722811703408376 2966
"114" "th" "the" 0.00248512531305198 2963
"115" "much" "how" 0.067219384833841 2935
"116" "im" "and" 0.00484214024592888 2914
"117" "need" "you" 0.0123945484417431 2912
"118" "forward" "looking" 0.232701305097267 2835
"119" "wish" "i" 0.00685525732194121 2813
"120" "company" "the" 0.00234757534634914 2799
"121" "day" "a" 0.00469459052457459 2787
"122" "need" "we" 0.026285572120261 2747
"123" "will" "that" 0.0104126613039667 2708
"124" "time" "this" 0.0198880333842718 2707
"125" "win" "to" 0.00391244718995345 2693
"126" "guys" "you" 0.0114496343778464 2690
"127" "youre" "if" 0.0387560015571608 2688
"128" "people" "of" 0.00533631347349305 2674
"129" "want" "dont" 0.0603678098594731 2672
"130" "put" "to" 0.00386886255731379 2663
"131" "weekend" "this" 0.0195574232984601 2662
"132" "fact" "the" 0.00223183208168455 2661
"133" "favorite" "my" 0.0174237999150382 2625
"134" "cant" "you" 0.0109388700189834 2570
"135" "just" "is" 0.00956670012275524 2564
"136" "watch" "to" 0.00371922198525096 2560
"137" "small" "a" 0.00430379576257197 2555
"138" "sure" "make" 0.0781666207403325 2553
"139" "big" "the" 0.00213118576458491 2541
"140" "much" "as" 0.0210507988359464 2539
"141" "week" "a" 0.00426505317840792 2532
"142" "see" "i" 0.00615340374614346 2525
"143" "think" "dont" 0.056978898377841 2522
"144" "country" "the" 0.00210099186945502 2505
"145" "s" "the" 0.00207415285156178 2473
"146" "louis" "st" 0.232801736340474 2467
"147" "book" "the" 0.0020389266405769 2431
"148" "meet" "to" 0.00351873267510853 2422
"149" "wanted" "i" 0.00586340174781036 2406
"150" "like" "looks" 0.398275576189687 2402
"151" "try" "to" 0.00347950650573283 2395
"152" "story" "the" 0.0020020229909737 2387
"153" "still" "is" 0.00890255323435804 2386
"154" "man" "a" 0.00401238415125105 2382
"155" "season" "the" 0.00199615195580956 2380
"156" "though" "even" 0.0879979172090601 2366
"157" "still" "i" 0.00574642615184407 2358
"158" "team" "the" 0.00197518397308046 2355
"159" "saw" "i" 0.00572693021918302 2350
"160" "just" "was" 0.0148050265246034 2308
"161" "fact" "in" 0.00559559547393624 2302
"162" "show" "the" 0.00192066721798483 2290
"163" "im" "but" 0.019081957887516 2281
"164" "new" "in" 0.00551781134918995 2270
"165" "can" "they" 0.0279763524377273 2262
"166" "case" "the" 0.00189634435801908 2261
"167" "one" "this" 0.0164276478194428 2236
"168" "birthday" "happy" 0.133750300697618 2224
"169" "tell" "to" 0.00321654588880689 2214
"170" "miss" "i" 0.00536381847337099 2201
"171" "now" "is" 0.00820482588531153 2199
"172" "us" "for" 0.00799703112948059 2198
"173" "used" "i" 0.00534919652387521 2195
"174" "pay" "to" 0.00318603664595912 2193
"175" "look" "to" 0.00318603664595912 2193
"176" "united" "the" 0.00183847272568679 2192
"177" "talk" "to" 0.00318313100378315 2191
"178" "follow" "the" 0.00183008553259515 2182
"179" "middle" "the" 0.00182002090088518 2170
"180" "get" "and" 0.00360418743768694 2169
"181" "now" "and" 0.00358092389498172 2155
"182" "havent" "i" 0.00519322906258682 2131
"183" "like" "you" 0.00905329826084736 2127
"184" "way" "a" 0.00356600220327392 2117
"185" "went" "i" 0.00514692622251683 2112
"186" "think" "to" 0.00306254685348009 2108
"187" "twitter" "on" 0.0103186318985008 2104
"188" "get" "can" 0.0341755275908041 2102
"189" "sure" "not" 0.020571417381428 2101
"190" "home" "at" 0.0147020602552665 2093
"191" "will" "they" 0.0258243253271329 2088
"192" "also" "is" 0.00778693570834251 2087
"193" "buy" "to" 0.00302767914736836 2084
"194" "years" "for" 0.0075495175585406 2075
"195" "morning" "good" 0.0463684766248062 2064
"196" "many" "how" 0.047202436845842 2061
"197" "mean" "i" 0.00501776566863738 2059
"198" "never" "i" 0.00501045469388949 2056
"199" "mom" "my" 0.0135739698385726 2045
"200" "huge" "a" 0.00343966768969548 2042
"201" "dont" "we" 0.0195108414827857 2039
"202" "chance" "a" 0.0034329298489713 2038
"203" "order" "in" 0.00495144569088103 2037
"204" "got" "just" 0.0268384539147671 2031
"205" "stop" "to" 0.00294777398752898 2029
"206" "national" "the" 0.00170092275898394 2028
"207" "read" "to" 0.002946321166441 2028
"208" "found" "i" 0.00493247096324529 2024
"209" "one" "in" 0.00491984589020285 2024
"210" "jersey" "new" 0.0415665496067197 2024
"211" "first" "my" 0.0134146665250637 2021
"212" "night" "the" 0.00169253556589231 2018
"213" "time" "a" 0.00339755618516934 2017
"214" "future" "the" 0.00168834196934649 2013
"215" "back" "the" 0.00167827733763652 2001
"216" "going" "are" 0.01624633908233 1997
"217" "final" "the" 0.00167324502178154 1995
"218" "front" "in" 0.00484449251935488 1993
"219" "word" "the" 0.00167156758316321 1993
"220" "also" "i" 0.00480087341778321 1970
"221" "dont" "they" 0.0242535928958369 1961
"222" "week" "next" 0.102603048237574 1959
"223" "stay" "to" 0.0028431708691938 1957
"224" "knew" "i" 0.00475700756929586 1952
"225" "idea" "the" 0.0016279541790867 1941
"226" "see" "you" 0.00824033165632369 1936
"227" "show" "to" 0.00277488827805833 1910
"228" "going" "was" 0.0122327493857967 1907
"229" "road" "the" 0.00159272796810183 1899
"230" "better" "a" 0.0031937365032628 1896
"231" "said" "i" 0.00461809904908588 1895
"232" "will" "and" 0.00314390162844799 1892
"233" "longer" "no" 0.0383420320464653 1888
"234" "share" "to" 0.00273275646650666 1881
"235" "public" "the" 0.00156924382744524 1871
"236" "school" "the" 0.00156672766951775 1868
"237" "nice" "a" 0.00313983377746933 1864
